EncounterType,Demographic,DemographicValue,Year,Homeless,All
IP,AGEGROUP,0 to 18,2019-2020,"1,986","1,263,963"
IP,AGEGROUP,19 to 39,2019-2020,"77,675","1,567,051"
IP,AGEGROUP,40 to 59,2019-2020,"106,805","1,305,536"
IP,AGEGROUP,60+,2019-2020,"50,972","2,897,381"
IP,RACEGROUP,American Indian/Alaska Native,2019-2020,"1,744","27,019"
IP,RACEGROUP,Asian/Pacific Islander,2019-2020,"5,494","703,785"
IP,RACEGROUP,Black,2019-2020,"46,546","562,091"
IP,RACEGROUP,Hispanic,2019-2020,"59,064","2,310,708"
IP,RACEGROUP,Other Race/Ethnicity,2019-2020,"17,265","471,747"
IP,RACEGROUP,White,2019-2020,"107,428","2,958,841"
IP,SEX,Female,2019-2020,"67,020","3,922,100"
IP,SEX,Male,2019-2020,"170,489","3,111,590"
IP,PAYER,Medi-Cal,2019-2020,"152,816","2,119,419"
IP,PAYER,Medicare,2019-2020,"48,658","2,463,316"
IP,PAYER,Other Payer,2019-2020,"8,406","215,789"
IP,PAYER,Private Coverage,2019-2020,"12,486","2,067,829"
IP,PAYER,Uninsured,2019-2020,"15,175","167,838"
ED,AGEGROUP,0 to 18,2019-2020,"6,280","4,642,761"
ED,AGEGROUP,19 to 39,2019-2020,"251,589","7,224,829"
ED,AGEGROUP,40 to 59,2019-2020,"290,589","5,314,602"
ED,AGEGROUP,60+,2019-2020,"109,490","5,029,232"
ED,RACEGROUP,American Indian/Alaska Native,2019-2020,"3,684","76,224"
ED,RACEGROUP,Asian/Pacific Islander,2019-2020,"11,411","1,392,154"
ED,RACEGROUP,Black,2019-2020,"153,156","2,322,766"
ED,RACEGROUP,Hispanic,2019-2020,"148,944","9,264,900"
ED,RACEGROUP,Other Race/Ethnicity,2019-2020,"47,640","1,405,758"
ED,RACEGROUP,White,2019-2020,"293,809","7,750,715"
ED,SEX,Female,2019-2020,"189,289","12,077,962"
ED,SEX,Male,2019-2020,"469,166","10,132,998"
ED,PAYER,Medi-Cal,2019-2020,"421,929","9,365,162"
ED,PAYER,Medicare,2019-2020,"106,465","4,281,073"
ED,PAYER,Other Payer,2019-2020,"19,700","747,537"
ED,PAYER,Private Coverage,2019-2020,"26,271","6,268,051"
ED,PAYER,Uninsured,2019-2020,"84,279","1,550,694"
